MKOA WA KILIMANJARO ,,,,,,,,Scope of works,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,Medium Voltage Lines (km),,Distribution Transformers (kVA),,,Low Voltage Lines (km),,,Initial Customers,,
Kilimanjaro,Moshi,Moshi DC,Vunjo,Kahe Magharibi,Mawala,38,Samachi,,0.5,1,,,3.5,1.5,5.0,64,2,66
Kilimanjaro,Moshi,Moshi DC,Vunjo,Kahe Magharibi,Miwaleni,39,Mkongo Juu,,0.5,,,,2.1,0.9,3.0,74,2,76
Kilimanjaro,Moshi,Moshi DC,Moshi Vijijini,Kimochi,Shia,40,Lamu,,1.8,1,,,2.1,0.9,3.0,78,2,80
Kilimanjaro,Moshi,Moshi DC,Moshi Vijijini,Kimochi,Shia,41,Mpukoni,,1.3,1,,,2.1,0.9,3.0,90,2,92
Kilimanjaro,Moshi,Moshi DC,Moshi Vijijini,Kimochi,Mdawi,42,Kombere,,1.5,1,,,2.1,0.9,3.0,67,2,69
Kilimanjaro,Moshi,Moshi DC,Moshi Vijijini,Kimochi,Mdawi,43,Mkika,,1.4,1,,,2.1,0.9,3.0,78,2,80
Kilimanjaro,Moshi,Moshi DC,Moshi Vijijini,Mabogini,Mji Mpya,44,Ujamaa,,0.7,1,,,2.1,0.9,3.0,206,2,208
Kilimanjaro,Moshi,Moshi DC,Moshi Vijijini,Mabogini,Mabogini,45,Sanya Lina A,,1.0,1,,,2.1,0.9,3.0,100,2,102
Kilimanjaro,Moshi,Moshi DC,Moshi Vijijini,Mabogini,Mabogini,46,Sanya Lina B,,1.0,1,,,2.1,0.9,3.0,220,2,222
Kilimanjaro,Moshi,Moshi DC,Moshi Vijijini,Mabogini,Mtakuja,47,Josho,,0.0,1,,,2.1,0.9,3.0,260,2,262
Kilimanjaro,Moshi,Moshi DC,Moshi Vijijini,Mabogini,Mtakuja,48,Upareni,,0.0,,1,,3.5,1.5,5.0,255,2,257
Kilimanjaro,Moshi,Moshi DC,Moshi Vijijini,Mabogini,Mtakuja,49,Uarushani,,0.8,1,,,2.1,0.9,3.0,78,2,80
Kilimanjaro,Moshi,Moshi DC,Moshi Vijijini,Mabogini,Mji Mpya,50,Shirikisho,,2.0,1,,,2.1,0.9,3.0,76,2,78
Kilimanjaro,Moshi,Moshi DC,Moshi Vijijini,Arusha Chini,Chemchem,51,Miswakini,,1.6,1,,,2.1,0.9,3.0,90,2,92
Kilimanjaro,Moshi,Moshi DC,Moshi Vijijini,Arusha Chini,Kiruani,52,Kiruani A,,0.0,1,,,2.1,0.9,3.0,67,2,69
JUMLA NDOGO,,,,,,52,,0.0,63.2,41,9,0,108.5,46.5,155.0,"4,516",104,"4,620"
Kilimanjaro,Mwanga,Mwanga DC,Mwanga,Mwanga,Mamlaka Ya Mji Mdogo Mwanga,1,Mforo,,4.0,1,,,2.8,1.2,4.0,70,2,72
Kilimanjaro,Mwanga,Mwanga DC,Mwanga,Jipe,Kambi Ya Simba,2,Ubembe,,2.5,1,,,2.1,0.9,3.0,65,2,67
Kilimanjaro,Mwanga,Mwanga DC,Mwanga,Jipe,Kambi Ya Simba,3,Ngeleni,,0.0,1,,,2.1,0.9,3.0,65,2,67
Kilimanjaro,Mwanga,Mwanga DC,Mwanga,Toroha,Ndea,4,,,4.2,1,,,2.8,1.2,4.0,80,2,82
Kilimanjaro,Mwanga,Mwanga DC,Mwanga,Msangeni,Mwai,5,Mwai,0.0,,1,,,2.1,0.9,3.0,80,2,82
Kilimanjaro,Mwanga,Mwanga DC,Mwanga,Msangeni,Mwai,6,Kishengweni,0.0,,1,,,2.1,0.9,3.0,70,2,72
Kilimanjaro,Mwanga,Mwanga DC,Mwanga,Msangeni,Mwai,7,Marughuni,7.0,,1,,,2.1,0.9,3.0,65,2,67
Kilimanjaro,Mwanga,Mwanga DC,Mwanga,Shighatini,Lambo,8,Bureni,,1.0,1,,,2.1,0.9,3.0,70,2,72
Kilimanjaro,Mwanga,Mwanga DC,Mwanga,Shighatini,Lambo,9,Msareni,1.2,,1,,,2.1,0.9,3.0,78,2,80
Kilimanjaro,Mwanga,Mwanga DC,Mwanga,Shighatini,Lambo,10,Kiverenge,0.0,,1,,,2.1,0.9,3.0,65,2,67
Kilimanjaro,Mwanga,Mwanga DC,Mwanga,Shighatini,Lambo,11,Marughuni,3.3,,1,,,2.1,0.9,3.0,60,2,62
Kilimanjaro,Mwanga,Mwanga DC,Mwanga,Lembeni,Kiruru Ibwe Ijewa,12,Vumbeni,,3.5,1,,,2.1,0.9,3.0,65,2,67
Kilimanjaro,Mwanga,Mwanga DC,Mwanga,Lembeni,Mbambua,13,Mkizingo,,1.5,1,,,2.1,0.9,3.0,60,2,62
Kilimanjaro,Mwanga,Mwanga DC,Mwanga,Lembeni,Lembeni,14,Kaili(Reli Chini),,2.4,,1,,4.2,1.8,6.0,135,2,137
Kilimanjaro,Mwanga,Mwanga DC,Mwanga,Lembeni,Kisangara,15,Chanjale B,,0.7,1,,,2.8,1.2,4.0,80,2,82
Kilimanjaro,Mwanga,Mwanga DC,Mwanga,Mgagao,Kiverenge,16,Mbuyuni,,1.3,1,,,2.1,0.9,3.0,74,2,76
Kilimanjaro,Mwanga,Mwanga DC,Mwanga,Mgagao,Mgagao,17,Kijijini A,,0.8,1,,,2.1,0.9,3.0,75,2,77
Kilimanjaro,Mwanga,Mwanga DC,Mwanga,Mgagao,Mgagao,18,Kijijini B,,1.7,1,,,2.1,0.9,3.0,60,2,62
Kilimanjaro,Mwanga,Mwanga DC,Mwanga,Kilomeni,Kilomeni,19,Makokondo,,1.0,1,,,2.1,0.9,3.0,65,2,67
Kilimanjaro,Mwanga,Mwanga DC,Mwanga,Kilomeni,Sofe,20,Shighati A,,0.0,1,,,2.1,0.9,3.0,68,2,70
Kilimanjaro,Mwanga,Mwanga DC,Mwanga,Kilomeni,Sofe,21,Shighati B,,4.0,1,,,2.8,1.2,4.0,70,2,72
Kilimanjaro,Mwanga,Mwanga DC,Mwanga,Kileo,Kivulini,22,Misri,,2.5,1,,,2.5,1.1,3.5,90,2,92
Kilimanjaro,Mwanga,Mwanga DC,Mwanga,Kileo,Kivulini,23,Mbaleni,,0.0,1,,,2.1,0.9,3.0,70,2,72
Kilimanjaro,Mwanga,Mwanga DC,Mwanga,Kileo,Kifaru,24,Tingatinga A,,0.0,1,,,4.9,2.1,7.0,120,2,122
Kilimanjaro,Mwanga,Mwanga DC,Mwanga,Kileo,Kifaru,25,Tingatinga C,,1.0,1,,,2.1,0.9,3.0,45,2,47
Kilimanjaro,Mwanga,Mwanga DC,Mwanga,Kileo,Kituri,26,Kalimani(Kituri Proper),,4.5,1,,,2.1,0.9,3.0,70,2,72
Kilimanjaro,Mwanga,Mwanga DC,Mwanga,Kivisini,Kwa Nyange,27,Kwa Nyange A,,0.0,1,,,2.1,0.9,3.0,80,2,82
Kilimanjaro,Mwanga,Mwanga DC,Mwanga,Kivisini,Kwa Nyange,28,Kwa Nyange B,,2.0,,1,,2.1,0.9,3.0,69,2,71
JUMLA NDOGO,,,,,,28,,11.5,38.6,26,2,0,66.9,28.7,95.5,"2,064",56,"2,120"
