MKOA WA KIGOMA,,,,,,,,Scope of works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Medium Voltage Lines (km),,Distribution Transformers (kVA),,,Low Voltage Lines (km),,,Initial Customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Mugunzu,Nyagwijima,124,Muhelo,,0.6,1,,,1.0,2.0,3.0,78,2,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Mugunzu,Nyagwijima,125,Nyagwijima,,0.6,1,,,1.0,2.0,3.0,60,3,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Mugunzu,Nyagwijima,126,Nyarubebe,,0.3,1,,,1.0,2.0,3.0,100,2,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Mugunzu,Kinha,127,Kanyamanza  A,,0.0,1,,,1.0,2.0,3.0,60,2,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Mugunzu,Kinha,128,Mtazi,,0.4,1,,,1.0,2.0,3.0,168,2,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Mugunzu,Kinha,129,Kinha,,0.5,1,,,1.0,2.0,3.0,85,2,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Mugunzu,Kinha,130,Kahama,,0.4,1,,,1.0,2.0,3.0,120,2,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Mugunzu,Kinha,131,Nyamigaye,,0.0,1,,,1.0,2.0,3.0,80,2,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Mugunzu,Kinha,132,Kumsasa,,0.0,1,,,1.0,2.0,3.0,60,1,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Mugunzu,Kinha,133,Kumgano,,0.0,1,,,1.0,2.0,3.0,90,2,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Gwanumpu,Gwanumpu,134,Kitanga A,,0.5,1,,,1.0,2.0,3.0,107,1,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Gwanumpu,Gwanumpu,135,Nkoni B,,1.1,1,,,1.0,2.0,3.0,60,2,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Gwanumpu,Gwanumpu,136,Gwanumpu B,,0.0,1,,,1.0,2.0,3.0,45,2,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Gwanumpu,Gwanumpu,137,Ngomelo B,,0.4,1,,,1.0,2.0,3.0,68,2,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Gwanumpu,Gwanumpu,138,Nakisenga A,,0.4,,1,,1.0,2.0,3.0,120,4,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Gwanumpu,Gwanumpu,139,Nakisenga B,,0.0,,,,1.0,2.0,3.0,45,2,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Gwanumpu,Rusenga,140,Lusenga,,0.0,1,,,1.0,2.0,3.0,120,1,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Gwanumpu,Rusenga,141,Kumuyange,,0.0,1,,,1.0,2.0,3.0,99,2,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Gwanumpu,Rusenga,142,Runazi,,2.0,1,,,1.0,2.0,3.0,150,1,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Gwanumpu,Bukirilo,143,Kitagura,,0.0,,1,,1.0,2.0,3.0,60,1,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Gwanumpu,Bukirilo,144,Namhona,,0.0,,1,,1.0,2.0,3.0,65,2,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Gwanumpu,Bukirilo,145,Kavumu A,,0.9,1,,,1.0,2.0,3.0,102,2,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Katanga,KaTanga,146,Nyamsenga,,0.3,1,,,1.0,2.0,3.0,45,1,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Katanga,KaTanga,147,Nyakamanga,,0.0,1,,,1.0,2.0,3.0,60,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Katanga,KaTanga,148,Karutambwe,,0.3,1,,,1.0,2.0,3.0,70,2,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Katanga,KaTanga,149,Kagunga,,0.0,1,,,1.0,2.0,3.0,50,2,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Katanga,KaTanga,150,Bugarama,,0.0,1,,,1.0,2.0,3.0,45,2,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Katanga,KaTanga,151,Kigezi,,0.3,1,,,1.0,2.0,3.0,56,2,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Katanga,Ilabiro,152,Kingwa,,1.1,1,,,1.0,2.0,3.0,68,2,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Katanga,Ilabiro,153,Kilahinda,,0.0,,,,1.0,2.0,3.0,50,1,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Katanga,Ilabiro,154,Nyamsenga,,0.6,1,,,1.0,2.0,3.0,48,2,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Katanga,Ilabiro,155,Kumhama,,0.4,1,,,1.0,2.0,3.0,37,1,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Katanga,Ilabiro,156,Kikonko,,0.8,1,,,1.0,2.0,3.0,56,3,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Katanga,Ilabiro,157,Rusohoko,,0.0,,,,1.0,2.0,3.0,70,2,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Gwarama,Kabare,158,Sasamagembe,,0.0,1,,,1.0,2.0,3.0,57,2,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Gwarama,Kabare,159,Ruvumela,,0.0,1,,,1.0,2.0,3.0,60,2,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Gwarama,Kabare,160,Nyarubungo,,0.6,1,,,1.0,2.0,3.0,100,2,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Gwarama,Kabare,161,Nyabihere,,0.4,,1,,1.0,2.0,3.0,120,2,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Gwarama,Kabare,162,Nabigombo,,0.4,1,,,1.0,2.0,3.0,68,2,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Gwarama,Kabare,163,Kivuruga,,0.5,1,,,1.0,2.0,3.0,70,2,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Gwarama,Kabare,164,Kanyembaba,,0.5,1,,,1.0,2.0,3.0,85,3,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Gwarama,Kabare,165,Mikobe,,0.0,,,,1.0,2.0,3.0,45,1,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Gwarama,Gwarama,166,Vugizo C,,0.0,1,,,1.0,2.0,3.0,56,1,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Gwarama,Gwarama,167,Kibimba  B,,0.0,1,,,1.0,2.0,3.0,60,2,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Gwarama,Gwarama,168,Nyesato B,,0.0,1,,,1.0,2.0,3.0,77,2,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Gwarama,Gwarama,169,Majengo mapya,,0.9,1,,,1.0,2.0,3.0,48,2,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Gwarama,Nyakiyobe,170,Nyakasagara  ,,2.3,1,,,1.0,2.0,3.0,68,2,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Gwarama,Nyakiyobe,171,Mubweza,,0.0,1,,,1.0,2.0,3.0,50,2,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Gwarama,Nyakiyobe,172,Nyakavyiru,,8.0,1,,,1.0,2.0,3.0,45,1,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Gwarama,Nyakiyobe,173,Butongo,,1.4,1,,,1.0,2.0,3.0,60,2,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Gwarama,Nyakiyobe,174,Kunkeke,,0.0,1,,,1.0,2.0,3.0,45,2,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Gwarama,Nyakiyobe,175,Mugwanya,,0.0,,,,1.0,2.0,3.0,20,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Gwarama,Nyakiyobe,176,Vumagula,,0.0,1,,,1.0,2.0,3.0,69,2,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Gwarama,Nyakiyobe,177,Nyakinazi,,4.0,1,,,1.0,2.0,3.0,60,2,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kakonko,Kakonko,178,Kanyaga,,0.5,,1,,1.0,2.0,3.0,125,2,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kakonko,Mbizi,179,Kizinda C,,1.3,,1,,1.0,2.0,3.0,90,3,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kakonko,Mbizi,180,Mbizi Chini,,0.6,,1,,1.0,2.0,3.0,80,2,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kakonko,Mbizi,181,Chelaburo,,0.7,,1,,1.0,2.0,3.0,130,2,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kakonko,Mbizi,182,Kalimgunga,,1.1,1,,,1.0,2.0,3.0,68,3,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kakonko,Itumbiko,183,Ibuga A,,0.7,,1,,1.0,2.0,3.0,100,2,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kakonko,Itumbiko,184,Ibuga B,,1.1,,1,,1.0,2.0,3.0,150,3,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kakonko,Itumbiko,185,Ibuga C,,0.5,,1,,1.0,2.0,3.0,100,2,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kakonko,Itumbiko,186,Kanyaga A,,0.0,,1,,1.0,2.0,3.0,120,2,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kakonko,Itumbiko,187,Kanyaga B,,0.0,,,,1.0,2.0,3.0,50,2,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kakonko,Itumbiko,188,Kanyaga C,,0.0,,1,,1.0,2.0,3.0,80,2,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kakonko,Itumbiko,189,Kanyaga E,,0.0,1,,,1.0,2.0,3.0,105,1,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kanyonza,Muganza,190,Nyakavyiru,,0.0,,,,1.0,2.0,3.0,20,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kanyonza,Muganza,191,Mlimani,,0.5,,1,,1.0,2.0,3.0,90,2,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kanyonza,Kanyonza,192,Nyamalebe A,,1.0,,1,,1.0,2.0,3.0,130,2,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kanyonza,Kanyonza,193,Nyamalebe B,,0.6,,1,,1.0,2.0,3.0,100,2,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kanyonza,Kihomoka,194,Kihomoka,,4.0,1,,,1.0,2.0,3.0,48,2,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kanyonza,Kihomoka,195, Ndaburibije,,4.0,1,,,1.0,2.0,3.0,58,1,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kanyonza,Kihomoka,196, Kumsasa,,4.0,1,,,1.0,2.0,3.0,60,2,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUMLA NDOGO,,,,,,196,,0.0,123.9,139,40,1,196.0,392.0,588.0,"15,990",356,"16,346",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Rungwe Mpya,Kaguruka,1,Oysterbay ,,0.0,1,,,1.5,2.0,3.5,50,1,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Rungwe Mpya,Kaguruka,2,Nyankara,,9.6,,1,,2.0,5.0,7.0,150,4,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Rungwe Mpya,Rungwe Mpya,3,Kinagana,,1.5,,1,,3.0,6.0,9.0,250,3,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Rungwe Mpya,Nyakafyeke ,4,Sabaga ,,0.0,,1,,4.0,6.0,10.0,200,2,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Rungwe Mpya,Nyakafyeke ,5,Nyamisundo,,0.0,,1,,3.0,6.0,9.0,300,2,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Rungwe Mpya,Nyakafyeke ,6,Nyamaliba,,1.3,,1,,4.0,6.0,10.0,250,2,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Rungwe Mpya,Nyakafyeke ,7,Manyovu ,,0.7,,1,,2.0,6.0,8.0,200,3,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Asante Nyerere,Sogeeni Kwiliba,8,Sogeeni Mbele,,0.8,,,1,4.0,9.0,13.0,300,6,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Asante Nyerere,Sogeeni Kwiliba,9,Murusunu,,0.4,,,1,4.0,8.0,12.0,320,3,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Asante Nyerere,Sogeeni Kwiliba,10,Mlembela A,,0.0,,1,,3.0,5.0,8.0,195,1,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Asante Nyerere,Sogeeni Kwiliba,11,Mlembela B,,3.0,,1,,2.0,7.0,9.0,240,2,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Asante Nyerere,Asante Nyerere,12,Mwitiri ,,1.6,1,,,2.0,4.0,6.0,120,2,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Asante Nyerere,Asante Nyerere,13,Ruchugi A,,4.7,,,1,2.0,6.0,8.0,250,7,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Asante Nyerere,Asante Nyerere,14,Ruchugi B,,4.8,,,1,3.0,8.0,11.0,350,5,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Asante Nyerere,Asante Nyerere,15,Nyarukuta,,0.0,,1,,3.0,5.0,8.0,200,2,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Shunguliba,Malalo,16,Malalo,,0.0,,,,2.0,6.0,8.0,100,2,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Shunguliba,Malalo,17,Nyakasanda,,0.6,,,1,4.0,6.0,10.0,300,5,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Shunguliba,Malalo,18,Kamule ,,0.0,,,,3.0,5.0,8.0,200,1,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Shunguliba,Shunguliba,19,Shunguliba A,,0.5,1,,,2.0,5.0,7.0,100,2,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Shunguliba,Shunguliba,20,Shunguliba B,,0.5,1,,,3.0,6.0,9.0,120,1,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Shunguliba,Shunguliba,21,Mnywezi,,0.5,1,,,2.0,6.0,8.0,90,2,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Shunguliba,Kazage,22,Nyakayaga ( at sec school ),,0.8,,,,1.0,2.0,3.0,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Kurugongo,Nyenge,23,Kigoma,,0.4,,1,,3.0,5.0,8.0,120,3,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Kurugongo,Nyenge,24,Kilanga A,,1.1,1,,,2.0,6.0,8.0,130,2,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Kurugongo,Nyenge,25,Kamilangete,,0.3,1,,,2.0,4.0,6.0,100,2,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Kurugongo,Nyenge,26,Majengo,,0.6,1,,,1.0,4.0,5.0,80,1,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Kurugongo,Nyenge,27,Msebehi ,,0.0,1,,,1.0,3.0,4.0,50,1,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Kurugongo,Nyenge,28,Nyenge ,,0.6,1,,,2.0,4.0,6.0,70,2,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Kurugongo,Migunga,29,Kibunduka,,0.7,1,,,2.0,4.0,6.0,47,0,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Kurugongo,Migunga,30,Nyarubano ,,0.4,,1,,4.0,6.0,10.0,150,2,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Kurugongo,Kurugongo,31,Lebanoni,,0.7,1,,,2.0,5.0,7.0,90,2,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Kurugongo,Kurugongo,32,Nyamano,,0.5,,1,,2.0,6.0,8.0,80,1,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Kurugongo,Kurugongo,33,Nyarubaba,,0.4,,1,,3.0,5.0,8.0,120,2,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Kurugongo,Kabulanzwili,34,Migumule,,1.2,,1,,2.0,5.0,7.0,80,1,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Kurugongo,Kabulanzwili,35,Nyabageni,,6.0,1,,,4.0,6.0,10.0,70,2,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Kurugongo,Kabulanzwili,36,Mayungi,,0.9,,1,,3.0,6.0,9.0,200,3,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Kurugongo,Chekenya,37,Nyakafumbe,,1.6,,1,,3.0,6.0,9.0,130,2,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Kurugongo,Chekenya,38,Nyakatiti,,1.6,1,,,2.0,5.0,7.0,150,3,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Kurugongo,Chekenya,39,Nyarugunga,,7.5,1,,,2.0,3.0,5.0,60,3,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Kurugongo,Chekenya,40,Msebei,,0.0,1,,,3.0,5.0,8.0,80,2,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Kurugongo,Chekenya,41,Chekenya/Kilanga,,8.5,1,,,2.0,3.0,5.0,40,3,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Titye,Lalambe,42,Nyamunyinya,,0.0,1,,,2.0,4.0,6.0,90,2,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Titye,Lalambe,43,Kinyika,,0.0,1,,,1.0,4.0,5.0,80,2,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Titye,Titye,44,Mubuga,,0.8,,1,,4.0,6.0,10.0,120,2,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Titye,Titye,45,Mlalankona,,0.7,,1,,3.0,4.0,7.0,80,1,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Titye,Titye,46,Majengo ,,0.6,,2,,6.0,12.0,18.0,450,4,454,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Nyamnyusi,Nyamnyusi,47,"Kagembe ""A""",,0.8,,1,,2.0,6.0,8.0,200,2,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Nyamnyusi,Nyamnyusi,48,Kisuma,,0.3,,,1,4.0,8.0,12.0,300,3,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Nyamnyusi,Nyamnyusi,49,Waliha,,4.0,,1,,1.0,3.0,4.0,30,2,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Nyamnyusi,Nyamnyusi,50,Makamba,,0.0,,1,,3.0,6.0,9.0,180,2,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Nyamnyusi,Kitema,51,Mwenge A,,0.6,1,,,2.0,6.0,8.0,100,2,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Nyamnyusi,Kitema,52,Mwenge B,,0.0,,1,,3.0,5.0,8.0,140,2,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Nyamnyusi,Kitema,53,Mpagwe,,0.0,,1,,2.0,4.0,6.0,80,2,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Nyamnyusi,Kitema,54,Majengo,,0.9,,1,,2.0,5.0,7.0,140,3,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Nyamnyusi,Mukiheta ,55,Mungongo,,1.0,,1,,4.0,7.0,11.0,200,4,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kasulu,Kasulu DC,Kasulu Vijijini,Nyamnyusi,Mukiheta ,56,Kigoma,,0.5,1,,,3.0,6.0,9.0,180,2,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,
