MKOA WA KIGOMA,,,,,,,,Scope of works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Medium Voltage Lines (km),,Distribution Transformers (kVA),,,Low Voltage Lines (km),,,Initial Customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kasuga,Kasuga,28,Kumulangalanga B,,0.0,1,,,1.0,2.0,3.0,90,2,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kasuga,Kasuga,29,Mjini A,,,,,,1.0,2.0,3.0,20,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kasuga,Kasuga,30,Kaganyi,,1.1,1,,,1.0,2.0,3.0,120,2,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kasuga,Kasuga,31,Kewe,,1.0,,1,,1.0,2.0,3.0,126,2,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kasuga,Kasuga,32,Marumba A,,0.0,,,,1.0,2.0,3.0,70,3,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kasuga,Njoomulole,33,Rufuho,,1.0,1,,,1.0,2.0,3.0,65,2,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kasuga,Njoomulole,34,Kisera,,0.0,,,,1.0,2.0,3.0,50,1,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kasuga,Njoomulole,35,Mwanzagara,,0.0,,,,1.0,2.0,3.0,40,1,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kasuga,Njoomulole,36,Kumululu,,0.0,1,,,1.0,2.0,3.0,60,2,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kasuga,Nyakayenzi,37,Katahokwa A,,0.0,1,,,1.0,2.0,3.0,60,1,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kasuga,Nyakayenzi,38,Katahokwa C,,0.0,1,,,1.0,2.0,3.0,90,1,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kasuga,Nyakayenzi,39,Kumtukula B,,0.9,,1,,1.0,2.0,3.0,120,2,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kasuga,Nyakayenzi,40,Kamkele,,1.2,,1,,1.0,2.0,3.0,130,2,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kasuga,Nyakayenzi,41,Bizibilinzamba A,,0.0,,,,1.0,2.0,3.0,40,1,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kasuga,Nyakayenzi,42,Bizibilinzamba B,,0.0,,,,1.0,2.0,3.0,30,2,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Rugenge,Kiga,43,Kabilizi A,,,1,,,1.0,2.0,3.0,120,2,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Rugenge,Kiga,44,Kiga A,,0.0,1,,,1.0,2.0,3.0,50,1,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Rugenge,Kiga,45,Vyugazo,,0.8,1,,,1.0,2.0,3.0,108,2,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Rugenge,Kiga,46,Mugwanda A,,0.0,,1,,1.0,2.0,3.0,112,2,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Rugenge,Kiga,47,Mugwanda D,,0.0,1,,,1.0,2.0,3.0,80,2,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Rugenge,Kasongati,48,Kihinda A,,0.0,1,,,1.0,2.0,3.0,70,1,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Rugenge,Kasongati,49,Bwilinde B,,1.0,1,,,1.0,2.0,3.0,100,1,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Rugenge,Kikulazo,50,Kasongati,,1.3,1,,,1.0,2.0,3.0,80,2,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Rugenge,Kikulazo,51,Kumshindwi,,1.5,1,,,1.0,2.0,3.0,70,3,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Rugenge,Kikulazo,52,Kikulazo  A,,0.0,1,,,1.0,2.0,3.0,56,2,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Muhange,Luhuru,53,Bwera,,5.8,,1,,1.0,2.0,3.0,120,3,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Muhange,Luhuru,54,Gwimbo,,2.0,1,,,1.0,2.0,3.0,109,2,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Muhange,Luhuru,55,Nyamaga,,0.0,1,,,1.0,2.0,3.0,89,1,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Muhange,Luhuru,56,Kumtukula,,1.0,1,,,1.0,2.0,3.0,56,1,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Muhange,Luhuru,57,Chambeja,,0.0,1,,,1.0,2.0,3.0,60,2,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Muhange,Muhange,58,Magwezi A,,0.5,1,,,1.0,2.0,3.0,95,1,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Muhange,Muhange ,59,Entebe,,1.6,1,,,1.0,2.0,3.0,120,2,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Muhange,Muhange juu,60,Kanyemana,,0.0,,,,1.0,2.0,3.0,30,1,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Muhange,Muhange juu,61,Kumgalula,,1.5,,2,,1.0,2.0,3.0,100,2,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Muhange,Muhange juu,62,Nkomero,,0.0,1,,,1.0,2.0,3.0,120,2,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Muhange,Muhange juu,63,Nyanenge,,1.1,1,,,1.0,2.0,3.0,89,2,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Muhange,Muhange juu,64,Songambere,,1.1,1,,,1.0,2.0,3.0,95,2,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Muhange,Muhange juu,65,Kisiwani,,0.4,1,,,1.0,2.0,3.0,89,1,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyabibuye,Rumashi,66,Katongati,,0.4,1,,,1.0,2.0,3.0,120,1,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyabibuye,Rumashi,67,Mwiruzi,,0.4,1,,,1.0,2.0,3.0,98,2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyabibuye,Rumashi,68,Sangabana,,0.0,,,,1.0,2.0,3.0,80,3,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyabibuye,Rumashi,69,Kabingo,,0.0,1,,,1.0,2.0,3.0,60,2,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
