MKOA WA RUVUMA,,,,,,,,Scope of works,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,Medium Voltage Line (Km),,Distribution Transformer (kVA),,,LV (km),,,Customers,,
Mkoa,Wilaya,Halmashauri,Jimbo,Kata,Kijiji,Na,Kitongoji,11kV,33kV,50,100,200,4x95 sq.mm,4x50 sq.mm,LV Total (km),Single Phase,Three Phase,Total
Ruvuma,Songea,Songea DC,Peramiho,Kilagano,Magazini,43,Hamka twende,,0.5,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Kilagano,Kilagano,44,Chuki si mali,,0.5,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Kilagano,Kilagano,45,Miembeni,,0.4,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Kilagano,Kilagano,46,Kaza roho,,0.8,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Kilagano,Kilagano,47,Njomlole,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Kilagano,Kilagano,48,Geuzaulole,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Kilagano,Kilagano,49,Tabu amani,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Kilagano,Kilagano,50,Sokoine,,0.6,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Kilagano,Mhepai,51,Njoomlole,,0.4,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Kilagano,Mhepai,52,Kisiwani,,0.5,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Kilagano,Mhepai,53,Mtulingano,,0.9,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Kilagano,Muungano zomba,54,Zomba A,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Kilagano,Muungano zomba,55,Mpambano,,0.6,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Kilagano,Muungano zomba,56,Kilawalawa,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Kilagano,Muungano zomba,57,Kilanga juu,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Kilagano,Lugagara,58,MTanga,,0.7,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Kilagano,Lugagara,59,Mhivila,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Kilagano,Lugagara,60,Lugagala juu,,1.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Kilagano,Lugagara,61,Namasatu,,2.5,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Kilagano,Lugagara,62,Mbuni,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Kilagano,Lugagara,63,Mhimbasi juu,,3.5,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Kilagano,Lugagara,64,Mhimbasi chini ,,4.1,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Kilagano,Lugagara,65,Mhimbasi kati,,1.8,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Kilagano,Lugagara,66,Lilomba,,4.6,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Kilagano,Lugagara,67,Lukumburu,,6.5,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Liganga,Liganga,68,Lutangu,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Liganga,Liganga,69,Putile,,0.7,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Liganga,Liganga,70,Muungano A,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Liganga,Serekano,71,Serekano,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Liganga,Serekano,72,Lihongwe,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Liganga,Serekano,73,Muungano B,,0.4,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Liganga,Mborongo,74,Pachanne,,2.3,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Liganga,Mborongo,75,Muhimbazi,,4.5,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Liganga,Mborongo,76,Mborongo,,3.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Litisha,Nakahuga,77,Mkwera,,1.9,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Litisha,Nakahuga,78,Kidodi,,1.1,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Litisha,Nakahuga,79,Muhingiwa,,0.9,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Litisha,Nakahuga,80,Majengo,,0.9,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Litisha,Nakahuga,81,Mgowa,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Litisha,Nakahuga,82,Mngongoma,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Litisha,Nakahuga,83,Nakandutu,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Litisha,Morogoro,84,Butiama A,,1.4,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Litisha,Morogoro,85,Butiama B,,0.7,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Litisha,Morogoro,86,Chemchem,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Litisha,Morogoro,87,Mbwewike,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Litisha,Morogoro,88,Amka twende,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Litisha,Morogoro,89,Lukangago,,1.8,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Litisha,Magima,90,Kaloleni,,0.6,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Litisha,Magima,91,Lusewa,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Litisha,Magima,92,Mbwewike,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Litisha,Magima,93,Amka twende,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Litisha,Litisha,94,Magima kanisani,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Litisha,Litisha,95,Magima mahala,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Litisha,Litisha,96,Msufini,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Litisha,Litisha,97,Lunyanya,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Litisha,Litisha,98,Mngongoma,,0.0,1,,,3.0,1.5,4.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Matimila,Mpangula,99,Masangali,,2.3,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Matimila,Matimila A,100,Katete,,1.4,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Matimila,Matimila A,101,Msabata,,1.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Matimila,Matimila A,102,Pacha mbili,,1.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Matimila,Matimila B,103,Nanyimbo A,,2.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Matimila,Matimila B,104,Pacha tatu,,1.1,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Matimila,Matimila B,105,Msisima,,0.6,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Matimila,Liula ,106,Londo,,3.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Matimila,Liula ,107,Likenangena,,1.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Matimila,Liula ,108,Liula B,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Matimila,Liula ,109,Kituro,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Matimila,Liula ,110,Magazini,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Matimila,Liula ,111,Madaba B,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Matimila,Liula ,112,Madaba A,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Matimila,Liula ,113,Lidimbi,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Matimila,Liula ,114,Mkondasi,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Matimila,Liula ,115,Madizini,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Matimila,Liula ,116,Changalawe,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Matimila,Kikunja,117,Lizaboni,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Matimila,Kikunja,118,Muungano,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Matimila,Kikunja,119,Mikumi,,0.5,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Matimila,Kikunja,120,Motomoto,,0.6,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Matimila,Kikunja,121,Magunga,,7.7,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Matimila,Mpingi,122,Mpingi A,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Matimila,Mpingi,123,Mpingi B,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Matimila,Mpingi,124,Namahimba,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Matimila,Mpingi,125,Mwili,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Matimila,Mpingi,126,Njombe,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Lilahi,Muhukuru Lilahi,127,Msengo,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Lilahi,Muhukuru Lilahi,128,Zambia A,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Lilahi,Muhukuru Lilahi,129,Zambia B,,2.6,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Lilahi,Muhukuru Lilahi,130,Abdujumbe,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Lilahi,Muhukuru Lilahi,131,Matanda mwale,,1.5,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Lilahi,Muhukuru Lilahi,132,Masogo,,0.9,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Lilahi,Muhukuru Lilahi,133,Matipa,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Lilahi,Makwaya,134,Kiono,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Lilahi,Makwaya,135,Lumbingu,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Lilahi,Makwaya,136,Maleta,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Lilahi,Makwaya,137,Maandaki,,8.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Lilahi,Magwamila,138,Tuliani,,0.2,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Lilahi,Magwamila,139,Zambia,,1.8,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Lilahi,Magwamila,140,Ushirika,,0.8,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Muhukuru,Muhukuru Barabarani,141,Chepukila,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Muhukuru,Muhukuru Barabarani,142,Kajewa,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Muhukuru,Muhukuru Barabarani,143,Lizaboni A,,5.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Muhukuru,Muhukuru Barabarani,144,Lizaboni B,,3.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Muhukuru,Muhukuru Barabarani,145,Kaloleni,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Muhukuru,Muhukuru Barabarani,146,Muhiga,,8.1,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Muhukuru,Muhukuru Barabarani,147,Usenga,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Muhukuru,Mipeta ,148,Namanga,,1.6,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Muhukuru,Mipeta ,149,Likubwanga,,4.6,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Muhukuru,Mipeta ,150,Lami,,1.9,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Muhukuru,Mipeta ,151,Nang'ombe,,4.7,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Muhukuru,Mipeta ,152,Makangao,,1.5,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Muhukuru,Mipeta ,153,Makambako,,3.8,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Muhukuru,Maniamba,154,Burundi,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Muhukuru,Maniamba,155,Misufini,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Muhukuru,Maniamba,156,Ngujani,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Muhukuru,Maniamba,157,Michongwe,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Muhukuru,Maniamba,158,Msikitini,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Muhukuru,Maniamba,159,Liyumu,,7.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Muhukuru,Muhukuru Nakawale,160,Mchangini,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Muhukuru,Muhukuru Nakawale,161,Mingaula,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Muhukuru,Muhukuru Nakawale,162,Kajete,,,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Magagula,Magagula,163,Msasani,,0.8,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Magagula,Magagula,164,Muhimbili,,1.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Magagula,Magagula,165,Mgugusi,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Magagula,Magagula,166,Amani,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Magagula,Magagula,167,Mara road,,0.3,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Magagula,Magagula,168,Mpera,,0.7,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Magagula,Masangu,169,Mlandizi A,,2.8,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Magagula,Masangu,170,Mlandizi B,,0.0,1,,,1.0,1.5,2.5,38,2,40
