MKOA WA IRINGA,,,,,,,,Scope of works,,,,,,,,,,
,,,,,,,,Medium Voltage Lines (km),,Distribution Transformers (kVA),,,Low voltage Lines (km),,,Initial customers,,
Mkoa,Wilaya,Halmashauri,Jimbo,Kata,Kijiji,Na,Kitongoji,11KV,33KV,50,100,200,4 x 95 sq.mm,4 x 50 sq.mm,LV Total (km),single phase,Three phase,Total
Iringa,Iringa,Iringa DC,Kalenga,Magulilwa,Mlanda,75,Nyalawe,,1.7,1,,,1.2,1.7,2.9,38,2,40
Iringa,Iringa,Iringa DC,Kalenga,Magulilwa,Mlanda,76,Ukang'a,,0.7,1,,,0.8,1.2,2.0,23,1,24
Iringa,Iringa,Iringa DC,Kalenga,Magulilwa,Ng'enza,77,Kinyaminyi,,0.0,1,,,1.4,2.1,3.5,64,3,67
Iringa,Iringa,Iringa DC,Kalenga,Magulilwa,Ng'enza,78,Mungano,,0.0,1,,,0.9,1.3,2.2,23,1,24
Iringa,Iringa,Iringa DC,Kalenga,Magulilwa,Ng'enza,79,Lutengelo,,1.0,1,,,0.9,1.4,2.3,32,2,34
Iringa,Iringa,Iringa DC,Kalenga,Magulilwa,Ng'enza,80,Mlevela,,2.3,1,,,1.6,2.4,4.0,43,2,45
Iringa,Iringa,Iringa DC,Kalenga,Magulilwa,Msuluti,81,Mlowa,,0.0,1,,,1.0,1.5,2.5,30,2,32
Iringa,Iringa,Iringa DC,Kalenga,Magulilwa,Msuluti,82,Msukwa,,1.2,1,,,1.2,1.8,3.0,35,2,37
Iringa,Iringa,Iringa DC,Kalenga,Magulilwa,Msuluti,83,Milanzi,,3.7,1,,,0.8,1.2,2.0,30,2,32
Iringa,Iringa,Iringa DC,Kalenga,Magulilwa,Msuluti,84,Mwaya,,1.5,1,,,1.0,1.4,2.4,33,2,35
Iringa,Iringa,Iringa DC,Kalenga,Magulilwa,Msuluti,85,Kihesa kilolo,,2.5,1,,,1.5,2.2,3.7,52,3,55
Iringa,Iringa,Iringa DC,Kalenga,Magulilwa,Magulilwa,86,Mbavi,,1.9,1,,,1.2,1.8,3.0,33,2,35
Iringa,Iringa,Iringa DC,Kalenga,Magulilwa,Magulilwa,87,Mifugo,,1.5,,1,,1.9,2.9,4.8,74,4,78
Iringa,Iringa,Iringa DC,Kalenga,Magulilwa,Magulilwa,88,Sekuse,,1.5,1,,,1.3,1.9,3.2,43,2,45
Iringa,Iringa,Iringa DC,Kalenga,Magulilwa,Ndiwili,89,Migoli A,,0.0,1,,,1.2,1.8,3.0,43,2,45
Iringa,Iringa,Iringa DC,Kalenga,Magulilwa,Ndiwili,90,Migoli B,,0.0,1,,,1.2,1.8,3.0,52,3,55
Iringa,Iringa,Iringa DC,Kalenga,Magulilwa,Ndiwili,91,Msuluti A,,1.3,1,,,0.8,1.2,2.0,38,2,40
Iringa,Iringa,Iringa DC,Kalenga,Magulilwa,Ndiwili,92,Msuluti B,,1.2,1,,,1.2,1.8,3.0,33,2,35
Iringa,Iringa,Iringa DC,Kalenga,Magulilwa,Ndiwili,93,Matema ,,0.0,1,,,1.5,2.3,3.8,32,2,34
Iringa,Iringa,Iringa DC,Kalenga,Magulilwa,Ndiwili,94,Malawi,,2.5,1,,,0.7,1.0,1.7,18,1,19
Iringa,Iringa,Iringa DC,Kalenga,Luhota,Wangama,95,Idobogo,,1.8,1,,,1.2,1.8,3.0,43,2,45
Iringa,Iringa,Iringa DC,Kalenga,Luhota,Wangama,96,Iganga,,0.0,,,,1.1,1.7,2.8,33,2,35
Iringa,Iringa,Iringa DC,Kalenga,Luhota,Wangama,97,Itwaga,,0.9,1,,,1.2,1.7,2.9,43,2,45
