MKOA WA MBEYA ,,,,,,,,Scope of works,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,Medium Voltage Lines (km),,Distribution Transformers (kVA),,,Low Voltage Lines (km),,,Initial Customers,,
Mkoa,Wilaya,Halmashauri,Jimbo,Kata,Kijiji,Na,Kitongoji,11kV,33kV,50,100,200,4x95 sq.mm,4x50 sq.mm,LV Total (km),Single Phase,Three Phase,Total
Mbeya,Rungwe,Rungwe DC,Rungwe,Kisiba,Isabula,40,Iseselo,,1.5,0,1,0,3.0,2.0,5.0,98,2,100
Mbeya,Rungwe,Rungwe DC,Rungwe,Kisiba,Mbaka,41,Kibundugulu,,0.8,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Kisiba,Lwifwa,42,Iseselo Juu,,3.2,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Kisiba,Busisya,43,Butumba,,2.0,0,1,0,2.9,1.9,4.9,95,2,97
Mbeya,Rungwe,Rungwe DC,Rungwe,Bujela,Bujela,44,Busyala,,0.9,0,1,0,2.9,1.9,4.9,95,2,97
Mbeya,Rungwe,Rungwe DC,Rungwe,Bujela,Nsongola,45,Lupila,,1.6,0,1,0,2.9,1.9,4.9,95,2,97
Mbeya,Rungwe,Rungwe DC,Rungwe,Bujela,Mpombo,46,Salima,,1.8,0,1,0,2.9,1.9,4.9,95,2,97
Mbeya,Rungwe,Rungwe DC,Rungwe,Bujela,Segela,47,Brazil,,0.6,0,1,0,2.9,1.9,4.9,95,2,97
Mbeya,Rungwe,Rungwe DC,Rungwe,Ilima,Itula,48,Ibolelo A,1.5,,0,1,0,2.6,1.7,4.4,85,2,87
Mbeya,Rungwe,Rungwe DC,Rungwe,Ilima,Katundulu,49,Katundulu,,1.8,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Malindo,Kapugi,50,Kibabala,,1.2,0,1,0,3.0,2.0,5.0,98,2,100
Mbeya,Rungwe,Rungwe DC,Rungwe,Malindo,Kapugi,51,Kapolwe,,1.0,0,1,0,3.0,2.0,5.0,98,2,100
Mbeya,Rungwe,Rungwe DC,Rungwe,Malindo,Kapugi,52,Mbosi,,1.5,0,1,0,3.0,2.0,5.0,98,2,100
Mbeya,Rungwe,Rungwe DC,Rungwe,Malindo,Kapugi,53,Bunyakapeta,,1.0,0,1,0,3.0,2.0,5.0,98,2,100
Mbeya,Rungwe,Rungwe DC,Rungwe,Malindo,Igalamu,54,Lukingi,,0.8,0,1,0,3.0,2.0,5.0,98,2,100
Mbeya,Rungwe,Rungwe DC,Rungwe,Malindo,Igalamu,55,Itebe,,1.0,0,1,0,3.0,2.0,5.0,98,2,100
Mbeya,Rungwe,Rungwe DC,Rungwe,Malindo,Igalamu,56,Segela,,1.0,0,1,0,3.0,2.0,5.0,98,2,100
Mbeya,Rungwe,Rungwe DC,Rungwe,Malindo,Ibungila,57,Malindo Chini,0.7,,0,1,0,2.9,1.9,4.9,95,2,97
Mbeya,Rungwe,Rungwe DC,Rungwe,Malindo,Ibungila,58,Mpunguti,0.7,,0,1,0,2.9,1.9,4.9,95,2,97
